Country,Country_group
USA,USA
GBR,Non_US_G7
CAN,Non_US_G7
IND,Asia
CHN,Asia
FRA,Non_US_G7
DEU,Non_US_G7
ISR,MENA
ESP,Other_Europe
NLD,Other_Europe
AUS,Other_Europe
SWE,Other_Europe
RUS,Other_Europe
SGP,Asia
BRA,LATAM
IRL,Other_Europe
ITA,Non_US_G7
JPN,Non_US_G7
KOR,Asia
CHE,Other_Europe
CHL,LATAM
DNK,Other_Europe
FIN,Other_Europe
HKG,Asia
BEL,Other_Europe
ARG,LATAM
TUR,Other_Europe
POL,Other_Europe
MEX,LATAM
NOR,Other_Europe
AUT,Other_Europe
IDN,Asia
BGR,Other_Europe
PRT,Other_Europe
ARE,MENA
NZL,Other_Europe
EST,Other_Europe
MYS,Asia
CZE,Other_Europe
PHL,Asia
TWN,Asia
HUN,Other_Europe
THA,Asia
COL,LATAM
LVA,Other_Europe
UKR,Other_Europe
LTU,Other_Europe
PER,LATAM
GRC,Other_Europe
ROM,Other_Europe
EGY,MENA
PAK,Asia
VNM,Asia
SVK,Other_Europe
LUX,Other_Europe
LBN,MENA
JOR,MENA
SVN,Other_Europe
ISL,Other_Europe
CYP,Other_Europe
VEN,LATAM
URY,LATAM
SRB,Other_Europe
